	Uid	Pid	recommendor_value	used_before_flag	row_count_new	row_count_overall
187	U-105	9	0.11112346934180019	0	20	28
188	U-105	6	0.07045832481502609	0	21	29
189	U-105	22	0.0645343929370367	0	22	30
190	U-105	28	0.05220527936164274	0	23	31
191	U-105	20	-0.0020061175447691204	0	24	32
192	U-105	38	-0.03740297491045788	0	25	33
193	U-105	7	-0.04612649537663102	0	26	34
194	U-105	35	-0.07772393500048427	0	27	35
195	U-105	4	-0.1065183912319829	0	28	36
196	U-105	15	-0.1702023133322865	0	29	37
197	U-105	27	-0.19915434568124588	0	30	38
198	U-105	40	-0.20962897679069178	0	31	39
199	U-105	31	-0.503558659951797	0	32	40
200	U-106	26	0.9318363600317399	1	1	1
201	U-106	32	0.8795668949182762	1	2	2
202	U-106	5	0.8711869399923811	1	3	3
203	U-106	27	0.7157704283670621	1	4	4
204	U-106	21	0.6625136570929999	1	5	5
205	U-106	33	0.5777704345695462	0	1	6
206	U-106	11	0.5498718022349449	0	2	7
207	U-106	16	0.46625490564929906	1	6	8
208	U-106	37	0.3825136357042608	1	7	9
209	U-106	10	0.3281986673860089	0	3	10
210	U-106	19	0.32021542633380795	0	4	11
211	U-106	22	0.30896229376891776	0	5	12
212	U-106	28	0.29105618379468245	0	6	13
213	U-106	4	0.289195641083034	0	7	14
214	U-106	36	0.28517684768383983	0	8	15
215	U-106	13	0.2581983246683148	0	9	16
216	U-106	8	0.1993465506134108	0	10	17
217	U-106	39	0.19835324846928312	0	11	18
218	U-106	30	0.1977329376686964	0	12	19
219	U-106	25	0.1855543172842213	0	13	20
220	U-106	15	0.16383970969001163	0	14	21
221	U-106	29	0.15153452600499867	0	15	22
222	U-106	34	0.14761163054565044	0	16	23
223	U-106	7	0.1209774265628342	0	17	24
224	U-106	2	0.10776172539727273	0	18	25
225	U-106	1	0.09041723766129418	0	19	26
226	U-106	20	0.07106826337919492	0	20	27
227	U-106	40	0.07069954582282134	0	21	28
228	U-106	14	0.041098032925187766	0	22	29
229	U-106	3	0.02994164927949236	0	23	30
230	U-106	6	0.019321374457442753	0	24	31
231	U-106	9	-0.0005975999462345116	0	25	32
232	U-106	35	-0.0544389690798619	0	26	33
233	U-106	23	-0.12888625665352538	0	27	34
234	U-106	31	-0.20683491883931454	0	28	35
235	U-106	38	-0.24718136719371708	0	29	36
236	U-106	18	-0.26679739803739033	0	30	37
237	U-106	17	-0.26937812117160237	0	31	38
238	U-106	24	-0.33178363761373325	0	32	39
239	U-106	12	-0.40764835050554954	0	33	40
240	U-107	18	1.73196668070995	1	1	1
241	U-107	34	1.5718308879788376	1	2	2
242	U-107	7	1.3092563417642378	1	3	3
243	U-107	24	1.1839826279125694	1	4	4
244	U-107	29	1.1496985349760338	1	5	5
245	U-107	5	1.138510886655332	0	1	6
246	U-107	25	1.1370231258961556	1	6	7
247	U-107	37	1.1344059386323053	1	7	8
248	U-107	36	1.0823954352371754	1	8	9
249	U-107	22	1.02369592660886	1	9	10
250	U-107	8	1.0222460157844084	0	2	11
251	U-107	21	1.0002546685613862	1	10	12
252	U-107	3	0.9989092954006142	1	11	13
253	U-107	10	0.9845006586900096	1	12	14
254	U-107	28	0.9160525676645195	1	13	15
255	U-107	39	0.892032116279255	1	14	16
256	U-107	38	0.8829778340800769	1	15	17
257	U-107	17	0.754695729266275	1	16	18
258	U-107	1	0.7392529604674376	0	3	19
259	U-107	23	0.6074784140315385	0	4	20
260	U-107	16	0.5428313285193836	1	17	21
261	U-107	33	0.4549847097429587	0	5	22
262	U-107	15	0.4053928828653254	0	6	23
263	U-107	9	0.39231848067281216	0	7	24
264	U-107	4	0.3521344821568294	0	8	25
265	U-107	20	0.3447697078164092	0	9	26
266	U-107	6	0.31304792764644696	0	10	27
267	U-107	35	0.30800256850202284	0	11	28
268	U-107	30	0.27912103664629234	0	12	29
269	U-107	12	0.2268892801106594	0	13	30
270	U-107	19	0.15025974573574302	0	14	31
271	U-107	32	0.13609629919072413	1	18	32
272	U-107	2	0.06934192230060643	0	15	33
273	U-107	11	-0.0011148702734059546	0	16	34
274	U-107	31	-0.0034144254755545944	0	17	35
275	U-107	13	-0.023518643266550288	0	18	36
276	U-107	27	-0.06268866563630893	0	19	37
277	U-107	40	-0.07083000296481146	0	20	38
278	U-107	14	-0.2667390262941923	0	21	39
279	U-107	26	-0.808051384592373	0	22	40
280	U-108	21	1.2126403974577933	1	1	1
281	U-108	6	1.1013391970988877	1	2	2
282	U-108	10	0.9558667639379571	1	3	3
283	U-108	29	0.9150932334475844	1	4	4
284	U-108	26	0.8861582381784451	1	5	5
285	U-108	30	0.8553615484900263	1	6	6
286	U-108	24	0.6628981452082909	1	7	7
287	U-108	37	0.5105764873264461	0	1	8
288	U-108	19	0.48913102481013304	0	2	9
289	U-108	36	0.4280008614483567	0	3	10
290	U-108	28	0.3985936183006892	0	4	11
291	U-108	12	0.3332427122716725	0	5	12
292	U-108	39	0.32569240825657786	0	6	13
293	U-108	23	0.3221971922882312	0	7	14
294	U-108	7	0.3173958470920707	0	8	15
295	U-108	3	0.31123161983178216	1	8	16
296	U-108	11	0.27306970349184645	0	9	17
297	U-108	18	0.1979532929040955	0	10	18
298	U-108	35	0.19345046318623377	0	11	19
299	U-108	27	0.171805092637538	0	12	20
300	U-108	13	0.16430091326266122	0	13	21
301	U-108	15	0.12928860637236433	1	9	22
302	U-108	14	0.09081852902360046	0	14	23
303	U-108	8	0.07403505377124511	0	15	24
304	U-108	32	0.0723685906824072	0	16	25
305	U-108	16	0.07143679366242692	0	17	26
306	U-108	22	0.03953818082751845	0	18	27
307	U-108	4	-0.00849460843276939	0	19	28
308	U-108	34	-0.026133076576127123	0	20	29
309	U-108	25	-0.045037466952377425	0	21	30
310	U-108	1	-0.06809635666035713	0	22	31
311	U-108	33	-0.07823644558457821	0	23	32
312	U-108	17	-0.09160466012054946	0	24	33
313	U-108	20	-0.10457473602992579	0	25	34
314	U-108	40	-0.11732641579885328	0	26	35
315	U-108	9	-0.1524500560660178	0	27	36
316	U-108	38	-0.15702954351249448	0	28	37
317	U-108	5	-0.1817052895368071	0	29	38
318	U-108	31	-0.20684412652582046	0	30	39
319	U-108	2	-0.2659517334702065	0	31	40
320	U-109	31	0.9399252931010554	1	1	1
321	U-109	17	0.8643147989218694	1	2	2
322	U-109	40	0.6173022605662203	0	1	3
323	U-109	12	0.5979979970483835	0	2	4
324	U-109	14	0.5675265583410144	1	3	5
325	U-109	18	0.48966930295428146	1	4	6
326	U-109	13	0.43779231940315677	1	5	7
327	U-109	19	0.43389025646667806	0	3	8
328	U-109	9	0.41211323791614596	0	4	9
329	U-109	2	0.41149340313891025	0	5	10
330	U-109	38	0.3959342011000693	1	6	11
331	U-109	7	0.38838312937351926	0	6	12
332	U-109	15	0.3240744200032556	0	7	13
333	U-109	20	0.3039342650682383	1	7	14
334	U-109	35	0.3008998242405956	0	8	15
335	U-109	8	0.2587232345392646	0	9	16
336	U-109	4	0.25208298830296844	0	10	17
337	U-109	30	0.2321005615799306	0	11	18
338	U-109	34	0.21777575916957442	0	12	19
339	U-109	33	0.2147661488148358	0	13	20
340	U-109	23	0.2069165149143704	0	14	21
341	U-109	5	0.1927768594928197	0	15	22
342	U-109	1	0.18274837353335777	0	16	23
343	U-109	25	0.173828678751282	0	17	24
344	U-109	22	0.15515623104020176	0	18	25
345	U-109	39	0.13069513281249145	0	19	26
346	U-109	16	0.08552589495472337	1	8	27
347	U-109	24	0.08148395968941305	0	20	28
348	U-109	10	0.04208720560507159	0	21	29
349	U-109	32	0.015567385600092076	0	22	30
350	U-109	11	0.011105546241521352	0	23	31
351	U-109	28	-0.0009470621448157135	0	24	32
352	U-109	6	-0.003987950430820314	0	25	33
353	U-109	3	-0.004633737623036593	0	26	34
354	U-109	29	-0.04784302837072105	0	27	35
355	U-109	37	-0.06344780886955301	0	28	36
356	U-109	27	-0.09702559077179893	0	29	37
357	U-109	36	-0.14879203867656057	0	30	38
358	U-109	21	-0.17851510211164337	0	31	39
359	U-109	26	-0.3933994236863617	0	32	40
360	U-110	6	1.5508927342587557	1	1	1
361	U-110	27	1.174312350462726	1	2	2
362	U-110	8	1.0252527356557026	1	3	3
363	U-110	38	0.9771606980055368	1	4	4
364	U-110	36	0.9169764802737388	1	5	5
365	U-110	2	0.8563356733167626	1	6	6
366	U-110	24	0.8158975031475942	1	7	7
367	U-110	40	0.7899746132880254	1	8	8
368	U-110	30	0.7443430621132459	1	9	9
369	U-110	14	0.6443719812194901	0	1	10
370	U-110	10	0.6285265620286331	0	2	11
371	U-110	26	0.6278303403069304	1	10	12
372	U-110	28	0.6214605540147059	1	11	13
373	U-110	22	0.5715666696467678	1	12	14
374	U-110	12	0.5587678843297025	0	3	15
375	U-110	18	0.5492286115075097	0	4	16
376	U-110	9	0.5149549731795798	1	13	17
377	U-110	20	0.498427540099739	0	5	18
378	U-110	5	0.3892977676393947	0	6	19
379	U-110	11	0.37406812302369014	0	7	20
380	U-110	3	0.3548017248675005	0	8	21
381	U-110	15	0.3482625262486768	0	9	22
382	U-110	29	0.342128768214278	0	10	23
383	U-110	37	0.2805612554357683	0	11	24
384	U-110	4	0.27347829899052645	0	12	25
385	U-110	13	0.2595205458629283	0	13	26
386	U-110	32	0.2517761345504146	0	14	27
387	U-110	34	0.21046574803487703	0	15	28
388	U-110	1	0.2078996202234498	0	16	29
389	U-110	39	0.17023269209820358	0	17	30
390	U-110	17	0.14001795863755795	1	14	31
391	U-110	31	0.10665162745268619	0	18	32
392	U-110	35	0.061459062033633716	0	19	33
393	U-110	7	-0.11544307751747618	0	20	34
394	U-110	19	-0.17880934574322405	0	21	35
395	U-110	21	-0.20197072166130148	0	22	36
396	U-110	16	-0.27619181453289354	0	23	37
397	U-110	25	-0.29149637235013215	0	24	38
398	U-110	23	-0.30654536520808406	0	25	39
399	U-110	33	-0.46644612315561673	0	26	40
400	U-111	23	1.316906352545983	1	1	1
401	U-111	1	0.9538930725463369	1	2	2
402	U-111	6	0.8292933565540074	1	3	3
403	U-111	33	0.778248561565908	1	4	4
404	U-111	21	0.7443695450377384	1	5	5
405	U-111	12	0.7391259685992742	1	6	6
406	U-111	2	0.5755019894445159	1	7	7
407	U-111	39	0.500764970556649	1	8	8
408	U-111	4	0.48199357242151275	0	1	9
409	U-111	3	0.46659512179264834	0	2	10
410	U-111	14	0.41848607717861264	0	3	11
411	U-111	37	0.40305996263504296	0	4	12
412	U-111	38	0.39457524464226434	0	5	13
413	U-111	16	0.36620893993348846	0	6	14
414	U-111	34	0.3493423436309044	1	9	15
415	U-111	26	0.3483719303533008	0	7	16
416	U-111	22	0.33971055463051186	0	8	17
417	U-111	18	0.3156584675242403	0	9	18
418	U-111	29	0.28470986221089206	0	10	19
419	U-111	25	0.2633544101293601	0	11	20
420	U-111	19	0.2568368299448829	0	12	21
421	U-111	11	0.21495232133884146	0	13	22
422	U-111	20	0.19960304231948356	0	14	23
423	U-111	17	0.1670472642828224	0	15	24
424	U-111	31	0.1305663449574637	0	16	25
425	U-111	36	0.0973986696959026	0	17	26
426	U-111	10	0.0673127173555316	0	18	27
427	U-111	40	0.016881247861027987	0	19	28
428	U-111	32	-0.01040700723639909	0	20	29
429	U-111	24	-0.026692860709421895	0	21	30
430	U-111	8	-0.03216441554922639	0	22	31
431	U-111	15	-0.04776941451071082	0	23	32
432	U-111	7	-0.05547015245093778	0	24	33
433	U-111	28	-0.1639723788567512	0	25	34
434	U-111	13	-0.17238585331736783	0	26	35
435	U-111	5	-0.18823773805856464	0	27	36
436	U-111	30	-0.23166831575159863	0	28	37
437	U-111	35	-0.2536761546746973	0	29	38
438	U-111	9	-0.3236942695261539	0	30	39
439	U-111	27	-0.5146301810473187	0	31	40
440	U-112	31	0.8565902062296673	1	1	1
441	U-112	19	0.7602337237636134	1	2	2
442	U-112	20	0.6205859764696442	1	3	3
443	U-112	39	0.5383740426913493	0	1	4
444	U-112	24	0.528693230385409	1	4	5
445	U-112	25	0.5221562725169255	1	5	6
446	U-112	35	0.47621799611545834	0	2	7
447	U-112	12	0.4492105806046187	0	3	8
448	U-112	38	0.43511566759757664	0	4	9
449	U-112	9	0.3932963991188717	0	5	10
450	U-112	17	0.3793180623186556	1	6	11
451	U-112	4	0.3196322141316885	0	6	12
452	U-112	13	0.31258064150799514	0	7	13
453	U-112	15	0.24785103023880437	0	8	14
454	U-112	28	0.24587228554099005	0	9	15
455	U-112	21	0.205633552478721	0	10	16
456	U-112	2	0.19995661799622988	0	11	17
457	U-112	32	0.1948372428467077	0	12	18
458	U-112	34	0.15607979481862327	0	13	19
459	U-112	11	0.1346872685464911	0	14	20
460	U-112	29	0.13135750070103663	0	15	21
461	U-112	8	0.12294423747478486	0	16	22
462	U-112	36	0.11968148073345863	0	17	23
463	U-112	16	0.10445205251149212	0	18	24
464	U-112	7	0.047988637463607015	0	19	25
465	U-112	1	0.03851402414312369	0	20	26
466	U-112	14	0.019295425553629647	0	21	27
467	U-112	30	0.0027791501042998823	0	22	28
468	U-112	18	-0.005944577440541304	0	23	29
469	U-112	40	-0.012441963030219494	0	24	30
470	U-112	23	-0.07030940955939716	0	25	31
471	U-112	33	-0.08386884553043716	0	26	32
472	U-112	10	-0.09458817986822143	0	27	33
473	U-112	22	-0.0959012624633277	0	28	34
474	U-112	5	-0.1258242446843844	0	29	35
475	U-112	3	-0.16806770394010861	0	30	36
476	U-112	6	-0.17296287483935946	0	31	37
477	U-112	27	-0.22028012884935705	0	32	38
478	U-112	37	-0.22681031101864085	0	33	39
479	U-112	26	-0.2869358133794771	0	34	40
480	U-113	38	0.7514608511188887	1	1	1
481	U-113	28	0.5931622001679379	1	2	2
482	U-113	2	0.5537412494911074	1	3	3
483	U-113	1	0.5403438056230077	1	4	4
484	U-113	10	0.4493113142969802	1	5	5
485	U-113	24	0.4408216549300447	0	1	6
486	U-113	25	0.43521377901083164	1	6	7
487	U-113	7	0.41421682263237214	0	2	8
488	U-113	40	0.41047297445880926	0	3	9
489	U-113	39	0.39129288495785897	0	4	10
490	U-113	20	0.3729484337801712	0	5	11
491	U-113	16	0.3190484680993549	0	6	12
492	U-113	27	0.288616223754066	0	7	13
493	U-113	12	0.21758236184165866	0	8	14
494	U-113	11	0.19524826282153213	0	9	15
495	U-113	3	0.16231198348488662	0	10	16
496	U-113	15	0.1570942627934359	1	7	17
497	U-113	22	0.15129392836336042	0	11	18
498	U-113	21	0.14897276762371933	0	12	19
499	U-113	8	0.14778221207775222	0	13	20
500	U-113	23	0.1461582122314243	0	14	21
501	U-113	17	0.1171201933664554	0	15	22
502	U-113	9	0.1160290277727195	0	16	23
503	U-113	37	0.11563851327980021	0	17	24
504	U-113	32	0.11272362605771455	0	18	25
505	U-113	4	0.10979652658309305	0	19	26
506	U-113	13	0.09779646054674133	0	20	27
507	U-113	36	0.08828944631721047	0	21	28
508	U-113	14	0.0473561490753146	0	22	29
509	U-113	6	0.04482535002496513	0	23	30
510	U-113	19	0.04361494508886801	0	24	31
511	U-113	5	0.03259656881598447	0	25	32
512	U-113	33	-0.05542259525649271	0	26	33
513	U-113	29	-0.05660260030377487	0	27	34
514	U-113	34	-0.09075660801812618	0	28	35
515	U-113	18	-0.10584180757513734	0	29	36
516	U-113	35	-0.1683945150850209	0	30	37
517	U-113	31	-0.18778972179111336	0	31	38
518	U-113	26	-0.21067331966857977	0	32	39
519	U-113	30	-0.33740029278982103	0	33	40
520	U-114	33	1.3404453986730653	1	1	1
521	U-114	26	0.9756950980026412	1	2	2
522	U-114	14	0.7514944039136828	1	3	3
523	U-114	1	0.7113095089367205	0	1	4
524	U-114	27	0.7083291041359654	1	4	5
525	U-114	23	0.6880822731503451	1	5	6
526	U-114	4	0.5776200709653802	0	2	7
527	U-114	32	0.47573016832997345	0	3	8
528	U-114	11	0.4063606535802654	1	6	9
529	U-114	37	0.37649102290090186	0	4	10
530	U-114	8	0.3601527490221954	1	7	11
531	U-114	34	0.3577170105480727	1	8	12
532	U-114	3	0.331482720357031	0	5	13
533	U-114	36	0.32441303220239615	0	6	14
534	U-114	16	0.30541570135229745	0	7	15
535	U-114	15	0.30103963932233924	0	8	16
536	U-114	30	0.29380174511047663	0	9	17
537	U-114	18	0.2901011634660672	0	10	18
538	U-114	12	0.2846691566673178	0	11	19
539	U-114	5	0.24684480803328385	0	12	20
540	U-114	21	0.24630659458780965	0	13	21
541	U-114	9	0.1659895229844205	0	14	22
542	U-114	39	0.16216671958452372	1	9	23
543	U-114	19	0.15574707922426978	0	15	24
544	U-114	22	0.1526634973049904	0	16	25
545	U-114	40	0.11040723493014304	0	17	26
546	U-114	31	0.10436500944763277	0	18	27
547	U-114	28	0.03972074453215438	0	19	28
548	U-114	25	0.03843276965565462	0	20	29
549	U-114	38	0.00485686727323556	0	21	30
550	U-114	17	-0.00144189264007899	0	22	31
551	U-114	24	-0.01632700524109154	0	23	32
552	U-114	20	-0.027329117105307332	0	24	33
553	U-114	13	-0.0941702138777033	0	25	34
554	U-114	29	-0.10407749858419607	0	26	35
555	U-114	10	-0.14199296404191414	0	27	36
556	U-114	2	-0.1491877389599332	0	28	37
557	U-114	6	-0.17106467419870441	0	29	38
558	U-114	35	-0.22012343662590322	0	30	39
559	U-114	7	-0.36213692692042043	0	31	40
560	U-115	5	1.3276881289006062	1	1	1
561	U-115	36	1.2991993902769083	1	2	2
562	U-115	8	1.2821789680660025	1	3	3
563	U-115	30	1.2508459642954957	1	4	4
564	U-115	34	1.2409271638768111	1	5	5
565	U-115	32	1.2267234683604198	0	1	6
566	U-115	4	1.1936653877951184	1	6	7
567	U-115	31	1.1610445226483503	1	7	8
568	U-115	22	0.9532974895383712	0	2	9
569	U-115	18	0.6876858772764955	0	3	10
570	U-115	25	0.6772963457055308	0	4	11
571	U-115	11	0.6550931094548138	1	8	12
572	U-115	26	0.5883829986796602	1	9	13
573	U-115	14	0.5844708483242916	0	5	14
574	U-115	39	0.5671902342489188	1	10	15
575	U-115	23	0.5615598005597434	1	11	16
576	U-115	29	0.5600996556362351	0	6	17
577	U-115	20	0.5079333833274448	0	7	18
578	U-115	27	0.4896614510973731	0	8	19
579	U-115	15	0.4631037861305288	0	9	20
580	U-115	33	0.41891666468829697	0	10	21
581	U-115	17	0.3628350715218791	1	12	22
582	U-115	2	0.35123428943098717	0	11	23
583	U-115	16	0.3367109950902556	0	12	24
584	U-115	9	0.30853485099151723	0	13	25
585	U-115	40	0.28251784168606847	0	14	26
586	U-115	38	0.2785077866078589	1	13	27
587	U-115	21	0.2603192931664442	0	15	28
588	U-115	37	0.22491635955958528	0	16	29
589	U-115	12	0.22035905962091895	0	17	30
590	U-115	13	0.21962179462305004	1	14	31
591	U-115	6	0.15535793507042545	0	18	32
592	U-115	10	0.14781308512552643	0	19	33
593	U-115	7	-0.030204938980554208	0	20	34
594	U-115	1	-0.0348200266783768	1	15	35
595	U-115	24	-0.04405626424499598	0	21	36
596	U-115	19	-0.04931476401052082	0	22	37
597	U-115	3	-0.14182026677129578	0	23	38
598	U-115	28	-0.16599096638729594	0	24	39
